location,bhk,total_sqft,,balcony
JP Nagar,3,1550,,3
Kalyan nagar,2,1247,,2
Whitefield,2,1350,,3
Raja Rajeshwari Nagar,2,966,,2
Kasavanhalli,3,1870,,3
Vidyaranyapura,2,814,,1
Harlur,3,1286,,1
RMV 2nd Stage,2,966,,1
Shampura,2,966,,2
Uttarahalli,2,1105,,2
Uttarahalli,2,920,,2
Yeshwanthpur,2,1160,,1
Kengeri,2,965,,2
Thanisandra,2,1160,,2
Yeshwanthpur,2,1160,,1
Banashankari,2,960,,3
Marathahalli,2,1160,,2
Devarachikkanahalli,3,1355,,3
Mysore Road,3,1270,,2
Rajaji Nagar,2,1500,,0
Poorna Pragna Layout,2,1280,,1
Venkatapura,2,1115,,0
Kundalahalli,1,801,,0
Begur Road,5,4050,,1
Uttarahalli,4,2028,,3
Konanakunte,2,1352,,2
Kengeri,2,1190,,2
Kambipura,2,1352,,2
Seegehalli,2,1352,,2
Vidyaranyapura,2,1352,,1
R.T. Nagar,3,2273,,2
Venugopal Reddy Layout,2,1352,,2
Electronic City,1,588,,0
Mahadevpura,3,1450,,1
Hebbal,2,1076,,2
Prithvi Layout,2,1200,,1
4th Block Koramangala,2,1040,,2
Kanakpura Road,2,1200,,3
Hennur Road,2,1235,,2
Kothanur,3,1140,,1
Uttarahalli,2,970,,1
Kathriguppe,3,1560,,3
Nagarbhavi,2,1200,,2
Whitefield,3,1200,,1.584375738
Manganahalli,2,1100,,0
Kanakpura Road,2,1150,,2
Uttarahalli,4,1500,,3
Kuvempu Nagar,9,3600,,2
BTM 2nd Stage,2,1080,,1
2nd Stage Nagarbhavi,2,1325,,2
Yelahanka,3,1300,,1.584375738
Whitefield,2,1100,,2
Whitefield,3,1667,,1.584375738
Bellandur,3,2000,,2
Anandapura,3,4470,,1.584375738
Sahakara Nagar,3,2550,,2
Cleveland Town,3,1630,,2
Rachenahalli,3,1685,,2
Jalahalli East,2,1152,,1
Gunjur,3,1862,,3
Hoodi,2,1100,,2
Kengeri,3,1700,,2
Bommenahalli,5,2100,,0
Begur,2,1000,,1
Indra Nagar,3,1427,,3
Peenya,4,4750,,1.584375738
t.c palya,4,2500,,1
Haralur Road,2,1050,,2
Bagalur Main Road,2,1050,,2
Kogilu,2,1050,,2
Vittasandra,2,1220,,2
Rajaji Nagar,2,1050,,2
Begur Road,2,1050,,2
Varthur Road,2,1050,,2
Kanakpura Road,2,1113,,1
Ilyas Nagar,4,3657,,1.584375738
Channasandra,1,680,,0
Sultan Palaya,2,1050,,2
3rd Phase JP Nagar,1,690,,1
Kanakpura Road,2,1200,,2
Jakkur,2,1050,,2
Basapura,2,1050,,2
Naganathapura,2,985,,1
Hennur,2,1050,,2
OMBR Layout,2,1050,,2
Jayanagar,2,1050,,2
Bannerghatta Road,2,1050,,2
Devarachikkanahalli,2,985,,1
Kanakpura Road,3,1856,,3
Yelenahalli,2,1050,,2
Hegde Nagar,2,985,,1
Electronic City,3,2600,,2
4th Phase JP Nagar,2,985,,1
Hosur Road,2,1050,,2
Jigani,3,1499,,2
kanakapura main road,3,1770,,2
Ambalipura,2,1175,,2
Shampura,3,2431,,1
Anjanapura,1,900,,1
Nagarbhavi,2,1070,,1
Electronic City,3,1440,,2
Thigalarapalya,1,420,,1
Akshaya Nagar,3,1540,,3
Brookefield,2,1295,,2
Hebbal,2,1145,,2
Malleshwaram,2,1419,,2
Electronic City Phase II,2,1295,,1
Balagere,2,1133,,1
Anjanapura,2,1090,,1
Nagaraja Garden,2,1141,,2
Hosa Road,2,1140,,1
Raja Rajeshwari Nagar,2,1303,,2
Thigalarapalya,1,600,,1
Kengeri Satellite Town,3,1278,,1
Basavangudi,1,500,,1
Bannerghatta Road,2,1143,,2
Mathikere,3,1610,,2
Singasandra,2,1258,,1
Reliaable Tranquil Layout,2,1128,,2
7th Phase JP Nagar,2,1157,,1
7th Phase JP Nagar,2,1185,,2
Old Airport Road,3,1530,,3
Vignana Nagar,2,1030,,1
Hennur Road,2,1144,,2
Hebbal,2,1196,,2
Thanisandra,2,1306,,1
Kadugodi,3,1608,,1
9th Phase JP Nagar,3,1575,,2
Sarjapur  Road,2,1151,,2
BTM 1st Stage,3,1570,,2
Panathur,2,1196,,2
Lottegolla Halli,2,1419,,2
Devanahalli Int. Airport,3,1560,,2
Ardendale,1,648,,1
Mailasandra,2,1100,,1
Basvasamithi Layout Vidyaranyapura,2,1140,,2
Kanakpura Road,2,1090,,2
HRBR Layout,2,1023,,2
Attibele,2,1070,,1
Bhoganhalli,3,1510,,3
Chelekare,8,4800,,1.584375738
Amruthahalli,2,1128,,1
Kodichikkanahalli,2,1267,,2
8th Block Jayanagar,1,550,,0
Hosakerehalli,2,1120,,2
Vijayanagar,2,1210,,2
Marathahalli,2,1240,,1
Atmananda Colony,3,1395,,2
Kengeri Satellite Town,2,1165,,1
Nagarbhavi,2,1120,,2
Bommasandra Industrial Area,2,1140,,2
Doopanahalli,2,1095,,1
Baba Nagar,3,1420,,2
Uttarahalli,2,1303,,2
Kaikondrahalli,2,1185,,1
Kanakpura Road,2,1140,,1
Yelahanka,2,1095,,2
Nagadevanahalli,3,1280,,2
Kanakpura Road,2,1303,,1
Horamavu Agara,2,1133,,2
Abbigere,2,1151,,1
Jalahalli,2,1267,,1
Hebbal Kempapura,2,1100,,1
 Rachenahalli,2,1185,,2
Bellandur,3,1751,,3
Kudlu Gate,2,1306,,2
Old Airport Road,2,1196,,2
Varthur,2,1128,,2
Kogilu,2,1151,,2
Kanakpura Road,3,1375,,1
Hoodi,2,1060,,1
Hennur Road,6,3900,,1.584375738
Byatarayanapura,2,1128,,1
Kothanur,2,1170,,3
5th Phase JP Nagar,2,1185,,1
Laggere,2,1255,,1
Mahalakshmi Puram,2,1419,,1
HSR Layout,3,1693,,1
Basavangudi,2,1196,,2
Yelahanka,2,1196,,2
Badrappa Layout,2,1133,,1
Electronic City,2,1140,,1
Poorna Pragna Layout,2,1140,,2
Bommasandra Industrial Area,2,1140,,2
HSR Layout,2,1295,,2
Kammanahalli,2,1133,,2
Kaval Byrasandra,2,1110,,1
Marathahalli,2,1185,,1
"Off Sarjapur Road, ",2,1295,,2
Nagappa Reddy Layout,3,1279,,1
Sanjay nagar,2,1196,,2
Rajaji Nagar,2,1240,,2
Kasavanhalli,2,1240,,2
Kengeri,3,1530,,2
Cooke Town,3,1587,,1
BTM Layout,2,1295,,1
Hosur Road,3,1450,,1
7th Phase JP Nagar,2,945,,1
Chandapura,2,1303,,2
Lal Bahadur Shastri Nagar,2,1419,,2
Naganathapura,3,1700,,2
Hebbal,2,1270,,2
Anjanapura,3,1260,,1
Malleshwaram,2,1196,,2
Whitefield,3,1580,,2
Doddakallasandra,2,1050,,2
Malleshwaram,2,1196,,2
Banjara Layout,2,1206,,1
Electronic City,2,1000,,0
Thanisandra,3,1485,,2
Volagerekallahalli,3,1335,,1
Devanahalli,2,1255,,2
Ramagondanahalli,3,1530,,3
6th block Koramangala,2,1140,,2
Kundalahalli,8,6000,,3
Jalahalli,2,1140,,2
Venkatadri Layout,1,510,,1
KR Puram,2,1187,,2
Whitefield,3,1320,,2
KR Puram,2,1056,,2
Whitefield,2,1060,,1
HMT Layout,3,1640,,2
Sarjapur  Road,3,2390,,2
Bommanahalli,3,2390,,2
Shantiniketan Layout,4,3516,,3
Bellandur,3,1640,,3
Yelahanka New Town,4,3526,,1
Kanakpura Road,3,1800,,3
Bannerghatta Road,3,1640,,2
Yelahanka,2,1370,,1
Baba Nagar,3,2409,,2
Hormavu,2,1718,,2
Hosa Road,3,2386,,1.584375738
Electronics City Phase 1,2,1200,,0
Bommanahalli,2,1160,,0
Kanakpura Road,2,1222,,0
Hennur Road,1,660,,0
Kurubarahalli,2,1440,,2
Uttarahalli,3,2448,,2
HAL 2nd Stage,2,1440,,2
Yeshwanthpur,3,1640,,3
Puttappa Layout,3,1800,,2
"Ananthanagar Phase 1,Electronic City , phase 2",4,3100,,3
Banashankari Stage II,4,3526,,3
Palace Guttahalli,2,1357,,1
Rajaji Nagar,3,2300,,3
Bellandur,3,1640,,2
8th Phase JP Nagar,3,2500,,3
Ngef Layout,3,2559,,2
Whitefield,2,1763,,2
Hennur Road,3,1640,,3
Kattigenahalli,3,1800,,2
Varthur Road,3,2533,,3
Hosur Road,2,1268,,1
Whitefield,3,2450,,3
HSR Layout,3,1640,,2
5th Phase JP Nagar,2,1200,,1
Yelahanka,3,2367,,3
Yelahanka,4,2440,,0
Jalahalli,3,1640,,2
Whitefield,3,1640,,2
Whitefield,3,2367,,3
Yeshwanthpur,3,1720,,2
Bhoganhalli,5,3600,,1.584375738
Bannerghatta Road,2,1357,,1
Doddakannelli,5,2400,,1
KR Puram,3,2500,,3
Yelahanka,3,2390,,1
Garudachar Palya,3,2415,,2
Sarjapur,2,1718,,2
Byadarahalli,2,1763,,2
Doddabommasandra,3,2367,,2
Varthur,3,2409,,3
Electronic City Phase II,2,1314,,0
Whitefield,2,1440,,2
Whitefield,3,1640,,3
KR Puram,3,3259,,0
Koramangala,3,2000,,2
Marathahalli,3,2000,,2
Whitefield,2,1170,,2
Rachenahalli,2,1293,,2
4th T block Jayanagar,2,1293,,2
Thanisandra,2,1293,,2
Kempegowda Nagar,3,1750,,2
Uttarahalli,3,1690,,1
Yelahanka New Town,2,1263,,1
Begur Road,4,2340,,1
Haralur Road,4,2340,,1
Attibele,2,1330,,1
Bellandur,4,2340,,1
Bethel Nagar,2,1309,,1
Uttarahalli,4,2340,,1
Akshaya Nagar,4,2330,,1
BTM Layout,4,2340,,1
Vittasandra,2,1151,,2
Whitefield,2,1251,,1
Marathahalli,2,1235,,1
Bharathi Nagar,3,1610,,2
Byagadadhenahalli,1,540,,0
Bommasandra,2,1235,,1
Sarakki Nagar,2,1215,,1
Kirloskar Layout,3,2257,,2
HSR Layout,2,1251,,1
Whitefield,3,1610,,2
Kaggadasapura,2,920,,3
Uttarahalli,2,1215,,1
tc.palya,2,1253,,1
Margondanahalli,2,1295,,2
Dollar Scheme Colony,2,1151,,2
Konanakunte Cross,2,1235,,1
Bellandur,3,2257,,2
Raja Rajeshwari Nagar,2,1295,,2
Balagere,3,1910,,2
Kammasandra,2,1215,,1
Nagappa Reddy Layout,2,1251,,1
Hebbal,3,1610,,2
Jakkur,2,1151,,2
Hebbal,2,1251,,1
Kothannur,2,845,,1
Vidyaranyapura,3,1910,,2
Omarbagh Layout,3,2040,,2
Panathur,2,1251,,1
Hebbal,2,1151,,2
Hosa Road,3,1610,,1
JP Nagar,3,1610,,2
Nagarbhavi,3,1200,,1
Sarjapur  Road,4,2787,,2
Indira Nagar,2,1125,,2
Ramagondanahalli,2,1151,,2
Vittasandra,3,2257,,2
Gunjur,3,1500,,3
Kannur,3,1910,,2
Varthur,3,2770,,2
Yelenahalli,2,1500,,2
Kengeri Satellite Town,3,2770,,1
Thigalarapalya,5,6200,,1.584375738
anjananager magdi road,3,2770,,3
Kasavanhalli,1,630,,1
Nagarbhavi,4,3700,,1
Electronic City Phase II,5,3500,,2
Kodipalya,2,1050,,0
Huskur,2,1040,,2
KR Puram,2,1200,,1
Electronics City Phase 1,1,360,,1
Raja Rajeshwari Nagar,2,950,,1
Aishwarya Crystal Layout,3,1200,,0
Sarjapur  Road,3,1525,,1
Ulsoor,2,1200,,0
Whitefield,2,1200,,3
Madiwala,2,1100,,0
Electronics City Phase 1,2,1185,,1
2nd Block Jayanagar,2,1170,,2
Gottigere,2,1150,,2
Kanakpura Road,2,1200,,1
Syndicate Bank Colony,2,1110,,0
Rayasandra,2,1200,,1
Electronic City,1,600,,1
Hosur Road,2,1006,,1
Vijayanagar,2,1200,,1
2nd Stage Nagarbhavi,2,700,,1
Electronic City,2,1125,,1
Hebbal,2,1000,,1
Kanakpura Road,2,1334,,1
Somasundara Palya,2,1200,,1
Nagarbhavi,2,1200,,1
Tumkur Road,2,1360,,0
Ramamurthy Nagar,2,1170,,2
Raja Rajeshwari Nagar,4,2200,,2
CQAL Layout,2,1050,,1
Nayandanahalli,3,2316,,0
Bellandur,2,1101,,1
9th Phase JP Nagar,2,1150,,2
Old Madras Road,2,1050,,2
Akshaya Nagar,2,935,,2
Vijaya Bank Layout,2,1200,,1
1st Phase JP Nagar,1,540,,0
Chandapura,2,960,,2
Varanasi,3,1350,,2
DUO Layout,2,1185,,1
Kengeri,2,1075,,2
Whitefield,3,1385,,2
Abbigere,3,1300,,2
Vittasandra,3,1230,,2
Daadys Gaarden Layout,2,1040,,2
GM Palaya,2,1200,,0
Thanisandra,3,1314,,2
Hennur,2,1065,,2
Bommanahalli,3,1708,,2
Srinivas Colony,3,1199,,1
Kanakpura Road,3,1577,,2
Dodda Nekkundi,2,1253,,2
Raja Rajeshwari Nagar,1,583,,1
Old Madras Road,2,1198,,1
OMBR Layout,3,1555,,2
Vishveshwarya Layout,3,1458,,2
Bellandur,3,1179,,1
Bhoganhalli,3,1601,,3
Hebbal Kempapura,4,1708,,1
Kalyan nagar,1,470,,1
Hosa Road,5,3600,,3
Begur Road,3,1357,,2
Sampangi Rama Nagar,3,1508,,1
BTM 1st Stage,2,1256,,1
Electronic City,3,1508,,1
Jigani,3,1508,,1
Hebbal,2,1256,,1
HRBR Layout,3,1685,,1
JP Nagar,5,4900,,1.584375738
Indira Nagar,3,1550,,2
Moodalapalya,2,800,,1
Whitefield,2,1100,,1
Hebbal,4,3600,,1.584375738
Moodalapalya,3,2150,,1.584375738
Panathur,3,1352,,0
 Devarachikkanahalli,3,2200,,1.584375738
Frazer Town,2,1233,,3
Nelamangala,3,1100,,1
Thigalarapalya,3,1835,,3
Pattandur Agrahara,4,2380,,3
Nayandanahalli,2,1050,,1
Sahakara Nagar,2,955,,3
Thigalarapalya,3,1215,,2
Kanakpura Road,1,910,,1
Bannerghatta Road,3,1215,,2
Gokaula Extension,2,1170,,2
Subash Nagar,2,800,,3
Poorna Pragna Layout,3,1490,,3
Kudlu Gate,2,1170,,2
Ramamurthy Nagar,3,1200,,0
Vishveshwarya Layout,3,1525,,2
Electronic City,3,3500,,2
Pattanagere,2,1230,,1.584375738
ISRO Layout,2,1394,,3
Banashankari,3,3761,,2
Kathriguppe,4,2780,,2
Marathahalli,4,2720,,1
Electronic City,3,3761,,2
Gottigere,3,3850,,3
Old Madras Road,4,3500,,1.584375738
Electronic City Phase II,5,7500,,2
Bannerghatta Road,3,1500,,2
Mahadevpura,2,1100,,1
Sarjapur  Road,2,1219,,2
7th Phase JP Nagar,3,1100,,2
Balagere,3,1655,,1
Electronic City,2,1150,,1
Whitefield,2,1270,,1
RTO ullalu,2,960,,3
Austin Town,2,1048,,3
Banashankari,2,1160,,1
Akshaya Nagar,3,1200,,2
Indira Nagar,4,2500,,1.584375738
Kanakpura Road,3,1914,,3
7th Phase JP Nagar,3,1500,,2
Kundalahalli,2,1100,,1
8th Phase JP Nagar,3,1914,,2
Indira Nagar,2,1000,,1
Nagarbhavi,2,1175,,3
Raja Rajeshwari Nagar,3,1370,,2
Carmelaram,2,1100,,1
Bommanahalli,3,1100,,2
Hosa Road,2,1180,,2
Uttarahalli,2,1200,,2
Doddanekundi,2,1032,,2
Marathahalli,2,1200,,0
Bannerghatta Road,2,1270,,1
Kothanur,2,1201,,3
Electronic City,2,1200,,1
7th Phase JP Nagar,2,1291,,2
Vidyaranyapura,2,1339,,2
Cottonpet,3,1686,,3
Shikaripalya,2,799,,1
Sector 7 HSR Layout,2,799,,1
Rajaji Nagar,2,1200,,1
Banashankari Stage III,2,1030,,2
Hennur Bande,2,1200,,1
Kaggadasapura,2,1000,,2
Hormavu,2,1100,,2
Gottigere,2,1150,,3
Mahadevpura,3,1800,,2
"ravindra nagar, T.dasarahalli peenya",5,3300,,1.584375738
Begur Road,3,1900,,2
EPIP Zone,2,1575,,2
LB Shastri Nagar,2,960,,1
Koramangala,2,1050,,0
Rajankunte,2,1150,,0
Banashankari Stage III,3,1500,,1
Sarjapur  Road,2,1180,,3
1st Block BEL Layout,3,2795,,1.584375738
Kanakpura Road,3,2250,,1.584375738
Yelahanka,2,1185,,1.584375738
Electronic City Phase II,3,1455,,1
HSR Layout,3,2121,,3
JP Nagar,3,2289,,2
Old Airport Road,3,2500,,2
Kodathi,3,2145,,1
Richards Town,3,1200,,2
Marathahalli,3,2663,,1
Subramanyapura,3,2250,,2
Kadugodi,3,1600,,1
Kengeri Satellite Town,2,1242.5,,0
KR Puram,2,913,,1
Electronic City,2,1128,,1
Thanisandra,2,1185,,2
Kothanur,1,649.5,,0
Hebbal,2,1020,,2
Sarjapur  Road,2,1195,,1
TC Palaya,2,1240,,1
Anantapura,2,950,,2
Thanisandra,3,1285,,2
Anekal,2,925,,1
Whitefield,4,3190,,1
Panathur,2,1215,,0
Prakruthi Township,3,1200,,2
Doddakallasandra,2,1000,,2
Babusapalaya,2,1157,,1
Hosahalli Extension,3,2238,,1
Kasturi Nagar,3,2020,,3
Kundalahalli,4,2885,,1
Electronic City Phase II,2,1240,,1
Ramamurthy Nagar,1,625,,1
Kengeri Satellite Town,4,2585.5,,0
Kengeri,2,940,,1
Jakkur,4,2100,,1
Sultan Palaya,2,913,,1
Marathahalli,3,1404,,0
Bennigana Halli,3,1830,,1
Cooke Town,3,1364,,2
Hosur Road,2,1124,,1
Makali,2,1044,,2
JP Nagar,1,650,,2
Jigani,2,1175,,2
Rachenahalli,2,1240,,2
Sarjapur  Road,2,1032,,1
Kodichikkanahalli,2,1044,,2
Whitefield,3,1200,,2
Sarjapur  Road,2,1200,,2
6th Phase JP Nagar,2,900,,2
Seethappa Layout,2,1205,,2
Anjanapura,2,850,,2
Huskur,2,1175,,1
Sarjapur,2,920,,2
Kaggadasapura,2,1150,,1
Ananth Nagar,2,1200,,1
Lakkasandra,3,1333,,1
JP Nagar,2,1044,,2
Judicial Layout,2,950,,2
Shampura,3,2172,,0
Singapura Village,1,633,,1
Jnanabharathi Layout,2,1451,,1
Mysore Road,4,2400,,3
Electronic City Phase II,3,1525,,2
Hoodi,2,1095,,1
R.T. Nagar,3,1425,,2
Akshayanagara East,3,2497,,2
Thanisandra,3,1787,,2
Bhoganhalli,3,1787,,2
Whitefield,2,1000,,1
Sahakara Nagar,2,1346,,1
Budigere,2,1195,,1
Budigere,3,1550,,3
Kalena Agrahara,3,2100,,2
Begur Road,3,1691,,2
Sarakki Nagar,2,1278,,2
Jigani,3,2238,,1
Kengeri,3,1800,,1.584375738
Yelahanka,3,1984,,1
Yelahanka,2,1128,,2
Electronic City,3,1700,,3
Marathahalli,3,1157,,1
Electronic City,2,1282,,2
Basaveshwara Nagar,4,4111,,1
Ulsoor,4,3900,,3
Langford Gardens,2,1050,,1
Bommasandra,3,1700,,3
Shampura,3,1691,,2
Attibele,3,1846,,2
Prithvi Layout,3,1200,,1
GM Palaya,3,1819,,2
Giri Nagar,3,1845,,1
Whitefield,2,1233,,2
Begur Road,3,1680,,1
Attibele,2,1255,,1
Banashankari,2,1311,,1
"Bellandur, ",3,1157,,1
Hoodi,2,1145,,2
Jigani,3,1300,,2
Bhoganhalli,3,2180,,2
Haralur Road,3,1750,,2
2nd Block Jayanagar,3,1200,,2
Mallasandra,3,2600,,2
Kothanur,5,5965,,1.584375738
Domlur,1,685,,1
Frazer Town,2,1241,,1
Marathahalli,1,835,,1
Jakkur,2,1280,,1
Kodihalli,2,1263,,1
Whitefield,3,1691,,1
Kaikondrahalli,2,1308,,1
Marathahalli,3,1592,,1
Haralur Road,2,1150,,2
Electronic City,3,1965,,3
Thanisandra,3,2275,,2
Panathur,2,1418,,2
Electronics City Phase 1,2,1200,,1
Kanakpura Road,2,1115,,1
Sarjapur  Road,3,1525,,2
Electronic City,2,1346,,1
Ejipura,1,715,,2
Victoria Layout,2,1230,,3
New Thippasandra,3,1750,,3
AECS Layout,2,1145,,1
Raja Rajeshwari Nagar,3,1500,,2
Kogilu,3,1846,,3
Whitefield,2,1067,,1
Sarjapur  Road,3,1700,,1
Sarjapur  Road,2,1230,,1
Attur Layout,4,3785,,1.584375738
1st Block HRBR Layout,3,2556,,2
Hebbal,2,1278,,2
Old Madras Road,2,1305,,1
Electronics City Phase 1,3,1755,,2
Varthur Road,3,1700,,2
7th Phase JP Nagar,2,1060,,1
Akshaya Nagar,3,1455,,1
Kanakpura Road,3,1850,,3
Gubbalala,1,950,,0
Hennur Road,3,1826,,2
Shikaripalya,3,1660,,2
Ardendale,3,1700,,3
Bellandur,3,1539,,1.584375738
Richmond Town,3,1489,,3
5th Block Hbr Layout,2,1200,,2
Electronic City,3,3044,,2
Yelenahalli,3,1877,,2
Kaggadasapura,2,1229,,2
Uttarahalli,2,1342,,1.584375738
JP Nagar,3,1711,,1
Mallasandra,2,1050,,1
BTM 2nd Stage,2,1350,,2
Devanahalli,4,2990,,1.584375738
Thanisandra,3,1457,,3
Banashankari,3,1685,,1
Marasandra,3,1200,,2
Thanisandra,2,984,,1
Bhuvaneshwari Nagar,2,1320,,1
Kudlu,3,1984,,1
Old Airport Road,3,1550,,1
Haralur Road,3,1691,,2
 Devarachikkanahalli,3,2070,,2
Whitefield,3,1435,,2
Haralur Road,2,1262,,2
R.T. Nagar,3,1693,,2
AGS Layout,3,1826,,2
Akshaya Nagar,3,1660,,2
Kodichikkanahalli,3,1830,,1
Hebbal,2,1059,,2
Yelahanka,3,1157,,1
Kalkere Channasandra,3,1700,,1
Ashirvad Colony,3,1691,,3
Whitefield,2,1308,,1
Sarjapur,3,1580,,3
Kambipura,3,1763.25,,3
Uttarahalli,3,1826,,2
Ramagondanahalli,3,1550,,2
Sompura,3,1819,,2
Doddabanahalli,2,984,,1
Devanahalli,3,1489,,2
Bellandur,1,702,,1
Balagere,2,1242,,1
Shakthi Nagar,3,2275,,2
Marathahalli,3,2100,,1
Nayandanahalli,3,1700,,2
Bisuvanahalli,3,1862,,1
AGS Layout,3,2275,,2
Hosa Road,3,1787,,2
Rayasandra,3,1691,,2
Rajaji Nagar,2,1028,,1
Mysore Road,3,1181,,1
Electronic City,3,1691,,2
Iblur Village,2,1026,,1
Electronic City,2,1350,,1
Raja Rajeshwari Nagar,3,1157,,1
6th block Koramangala,2,1019,,1
Electronic City Phase II,4,3418,,1.584375738
Sarjapur  Road,1,691,,1
Electronic City,3,1881,,2
Talaghattapura,3,2275,,2
Electronic City,3,1881,,2
Coffee Board Layout,4,2880,,2
Yeshwanthpur,1,675,,1
Whitefield,2,1346,,1
Whitefield,3,1691,,2
Hennur Road,2,1335,,1
Somasundara Palya,3,1680,,2
Anandapura,3,1222,,1
Brookefield,4,3420,,2
Kanakpura Road,3,1510,,1
Kengeri Satellite Town,2,1242,,1
Chamrajpet,2,1129,,1
Rajiv Nagar,3,1850,,2
Hoodi,3,1157,,1
Whitefield,4,2425,,1
Choodasandra,2,1323,,2
Jakkur,3,2289,,2
Haralur Road,3,2100,,2
Yelahanka New Town,1,702,,0
Whitefield,3,1800,,2
Koramangala,3,2275,,2
KR Puram,2,1026,,2
Mahadevpura,2,1216,,2
Hennagara,2,1112,,1
Indira Nagar,3,1157,,1
Vishwanatha Nagenahalli,2,1026,,1
Whitefield,3,1600,,1
Hebbal Kempapura,2,1346,,1
Padmanabhanagar,1,475,,1
Sarjapur  Road,3,1660,,2
TC Palaya,2,1346,,1
Byrathi Village,3,2089,,2
Uttarahalli,3,1612,,1
Ullal Uppanagar,2,1290,,2
Govindpura,2,1371,,1
KR Puram,3,2140,,2
Sarjapur  Road,2,1044,,2
Vidyaranyapura,3,1691,,2
Whitefield,3,2206,,1
 south,2,1309,,3
Haralur Road,3,1691,,2
Ittamadu,2,1367,,0
Jalahalli,3,1984,,1
Electronic City,2,1346,,1
Yelahanka,2,1112,,1
Haralur Road,2,1340,,1.584375738
Rainbow Drive,3,3500,,2
Kamala Nagar,2,1132,,1
Shampura,4,2425,,1
Kanakpura Road,3,1929,,2
Kothanur,4,2425,,3
Whitefield,3,1636,,2
Raja Rajeshwari Nagar,3,1936,,2
Electronics City Phase 1,2,1275,,1
Gottigere,2,1182,,1
Harlur,3,1330,,1
Chandapura,3,1329,,2
Sarjapur  Road,2,829,,1
Ramamurthy Nagar,3,2400,,3
Thanisandra,2,1033,,2
3rd Block Koramangala,3,1676,,3
Anekal,3,1800,,2
Kothanur,2,1308,,2
Yelahanka,2,1073,,2
Kanaka Nagar,3,1330,,1
Sahakara Nagar,2,1090,,1
Kaggadasapura,2,1126,,1
Brookefield,1,740,,1
Devanahalli,3,1555,,3
Kanakpura Road,1,500,,0
Hennur Road,3,1504,,2
Chikkalasandra,3,1504,,2
Madiwala,4,5500,,1.584375738
Kengeri Satellite Town,4,4104,,3
Mathikere,4,4041,,2
Pattanagere,3,1840,,2
Kanakpura Road,3,1533,,2
Rajaji Nagar,3,1804,,2
Basaveshwara Nagar Yelahanka,3,1720,,3
TC Palaya,3,1684,,2
Hebbal,2,1296,,1
Kengeri Satellite Town,1,794,,1
Peenya,2,1143,,2
Singapura Village,3,1665,,1.584375738
Wilson Garden,3,1512,,1.584375738
Jakkasandra Extension,2,1332,,2
Uttarahalli,3,1600,,2
Hebbal,2,1231,,3
Harlur,4,3000,,2
Seshadripuram,3,3800,,0
Ganesha Block,4,3000,,1.584375738
4th Block Jayanagar,4,3000,,1
Kothanur,2,1163,,2
Whitefield,3,1760,,2
Electronic City,3,3900,,2
Shikaripalya,2,1163,,1
Sahakara Nagar,2,1342,,2
Friends Colony,3,1760,,2
Sonnenahalli,3,1760,,2
2nd Block Jayanagar,3,2400,,3
Hegde Nagar,3,1760,,2
Vittasandra,2,1162,,2
Malur Hosur Road,2,901,,1
Lakshmipura Vidyaanyapura,2,800,,0
Nagaraja Garden,2,1118,,2
Marathahalli,3,1200,,0
JP Nagar,2,1155,,0
Hennur,3,1830,,2
Sarjapur  Road,3,4000,,1
Nagawara Junction,2,1096,,1
Banashankari,2,920,,1
Channasandra,3,1553,,3
Hegganahalli,3,1639,,3
Rajanna Layout,3,3000,,2
Nagarbhavi  BDA Complex,2,1134,,2
Sarakki Nagar,3,1683,,3
Devasthanagalu,2,1176,,2
JP Nagar,3,3000,,2
Kammasandra,3,1515,,3
Vijayanagar,2,1166,,1
Green Glen Layout,2,1100,,1
Whitefield,3,1350,,2
Kanakpura Road,3,1500,,3
Thanisandra,3,1360,,2
Adityanagar,2,1217,,1
Hallehalli,4,2650,,2
Sarjapur  Road,2,1200,,3
Electronics City Phase 1,2,700,,2
Jayamahal Extension,3,1400,,1
Bannerghatta Road,3,1475,,3
Thanisandra,3,1700,,3
JP Nagar,4,3060,,2
2nd Stage Nagarbhavi,2,925,,1
Sarjapur  Road,2,1630,,2
Kanakpura Road,2,1450,,0
Whitefield,3,1600,,2
Wilson Garden,3,3290,,1.584375738
Channasandra,3,1280,,0
Panathur,3,1602,,1
Yelahanka,3,1602,,1
JP Nagar,4,3000,,1.584375738
Old Madras Road,2,1130,,1.584375738
Thigalarapalya,2,1130,,1
Thanisandra,3,2250,,0
Anandapura,2,1500,,1
Dodda Nekkundi,3,2072,,2
Green View Layout,2,925,,2
Kudlu,4,2710,,3
TC Palaya,1,660,,1
Munnekollal,5,8000,,3
HSR Layout,2,1121,,1
Sarakki Nagar,3,1442,,2
Vidyaranyapura,3,1555,,1
Ramamurthy Nagar,3,1532,,2
Thanisandra,2,1025,,1
Gidada Konnenahalli,1,1350,,0
Whitefield,3,1255,,1
Marenahalli,2,850,,2
Sector 1 HSR Layout,2,1554,,3
Sompura,2,2200,,0
Mysore Road,1,3820,,1
Raja Rajeshwari Nagar,2,703,,1
Whitefield,3,1460,,1
Devanahalli,3,1226,,2
Sahakara Nagar,2,2040,,2
Whitefield,3,1176,,1
1st Phase JP Nagar,2,1080,,2
Chandapura,4,14000,,2
Raja Rajeshwari Nagar,2,1275,,1
Shettigere,2,1150,,2
